,,Question,Answer,Solution,url
0,"This type of reasoning question has an underlined word followed by four words. You have to select one word that is the necessary part of the underlined word.

1) Book 

A. Education
B. Pictures
C. Pages
D. Knowledge 


","1) Book 

A. Education
B. Pictures
C. Pages
D. Knowledge 


",C,"A book cannot exist without pages.
",https://www.javatpoint.com/essential-part-1
1,"This type of reasoning question has an underlined word followed by four words. You have to select one word that is the necessary part of the underlined word.

2) Harvest

A. Winter
B. Stockpile
C. Crop
D. Tractor


","2) Harvest

A. Winter
B. Stockpile
C. Crop
D. Tractor


",C,"If you do not have a crop, you have nothing to harvest.
",https://www.javatpoint.com/essential-part-1
2,"This type of reasoning question has an underlined word followed by four words. You have to select one word that is the necessary part of the underlined word.

3) Guitar

A. Music
B. Band
C. Instrument
D. Strings


","3) Guitar

A. Music
B. Band
C. Instrument
D. Strings


",D,"A guitar cannot be made without strings, so strings are its essential part.
",https://www.javatpoint.com/essential-part-1
3,"This type of reasoning question has an underlined word followed by four words. You have to select one word that is the necessary part of the underlined word.

4) Shoe

A. Leather
B. Sole
C. Laces
D. Socks 


","4) Shoe

A. Leather
B. Sole
C. Laces
D. Socks 


",B,"All shoes have sole. A shoe can be made without leather, and not all shoes have laces and shoes can be worn without socks.
",https://www.javatpoint.com/essential-part-1
4,"This type of reasoning question has an underlined word followed by four words. You have to select one word that is the necessary part of the underlined word.

5) Purchase

A. Profit
B. Trade
C. Bank 
D. Acquisition


","5) Purchase

A. Profit
B. Trade
C. Bank 
D. Acquisition


",D,"When you purchase something, you acquire it. The purchase may be related to trade, profit or bank, but it can occur without them.
",https://www.javatpoint.com/essential-part-1
0,"This type of reasoning question has an underlined word followed by four words. You have to select one word that is the necessary part of the underlined word.

6) Hurricane

A. Cyclone
B. Wind
C. Rain
D. Beach


","6) Hurricane

A. Cyclone
B. Wind
C. Rain
D. Beach


",B,"Hurricane is a violent storm accompanied by strong winds. It cannot exist without winds.
",https://www.javatpoint.com/essential-part-2
1,"This type of reasoning question has an underlined word followed by four words. You have to select one word that is the necessary part of the underlined word.

7) Autograph

A. Singer
B. President
C. Signature
D. Pen 


","7) Autograph

A. Singer
B. President
C. Signature
D. Pen 


",C,"An autograph refers to the signature of famous personalities. It cannot exist without a signature.
",https://www.javatpoint.com/essential-part-2
2,"This type of reasoning question has an underlined word followed by four words. You have to select one word that is the necessary part of the underlined word.

8) Faculty

A. School
B. Teachers
C. Textbooks
D. Exams


","8) Faculty

A. School
B. Teachers
C. Textbooks
D. Exams


",B,"A faculty is a group of teachers, and it cannot exist without teachers. Faculty may teach in a school, use textbooks, or attend meetings, but these are not essential parts.
",https://www.javatpoint.com/essential-part-2
3,"This type of reasoning question has an underlined word followed by four words. You have to select one word that is the necessary part of the underlined word.

9) Vibration

A. Sound
B. Power
C. Motion
D. Science 


","9) Vibration

A. Sound
B. Power
C. Motion
D. Science 


",C,"When an object starts vibrating it causes motion; it cannot be still when it vibrates.
",https://www.javatpoint.com/essential-part-2
4,"This type of reasoning question has an underlined word followed by four words. You have to select one word that is the necessary part of the underlined word.

10) Glacier

A. Ice
B. Mountain
C. Winter
D. Forest


","10) Glacier

A. Ice
B. Mountain
C. Winter
D. Forest


",A,"A glacier is a huge mass of ice which is made up of snow. It cannot exist without ice.
",https://www.javatpoint.com/essential-part-2
0,"This type of reasoning question has an underlined word followed by four words. You have to select one word that is the necessary part of the underlined word.

11) Saddle

A. Horse 
B. Stirrups 
C. Seat
D. Horn


","11) Saddle

A. Horse 
B. Stirrups 
C. Seat
D. Horn


",C,"A saddle is a kind of seat which one uses to sit on an animal, so it must have a seat. It is generally used to sit on a horse, but can be used for any other animal. Stirrups are often attached to saddle but may not be used. A horn is found on western saddles, but not on English saddles.
",https://www.javatpoint.com/essential-part-3
1,"This type of reasoning question has an underlined word followed by four words. You have to select one word that is the necessary part of the underlined word.

12) Cell

A. Chlorophyll
B. Animals
C. Neurons
D. Nucleus


","12) Cell

A. Chlorophyll
B. Animals
C. Neurons
D. Nucleus


",D,"A nucleus is an essential part of a cell. It is located at the center of a cell. Chlorophyll is not produced by cells, and not all cells are neurons. All living entities, not just animals are made up of cells.
",https://www.javatpoint.com/essential-part-3
2,"This type of reasoning question has an underlined word followed by four words. You have to select one word that is the necessary part of the underlined word.

13) Medal

A. Swimming
B. Winning
C. Running
D. Speaking


","13) Medal

A. Swimming
B. Winning
C. Running
D. Speaking


",B,"A medal is awarded when one wins, so winning is essential. One may win a swimming or running match, but there are also various other sports to participate and win the match.
",https://www.javatpoint.com/essential-part-3
3,"This type of reasoning question has an underlined word followed by four words. You have to select one word that is the necessary part of the underlined word.

14) Mobile phone

A. Sim 
B. Touchscreen
C. Keypad 
D. Hotspot


","14) Mobile phone

A. Sim 
B. Touchscreen
C. Keypad 
D. Hotspot


",A,"A mobile phone's basic function is to make and receive a call which is possible if it has a sim. It may not have a touch screen, keypad or hotspot function.
",https://www.javatpoint.com/essential-part-3
4,"This type of reasoning question has an underlined word followed by four words. You have to select one word that is the necessary part of the underlined word.

15) Painting

A. Canvas
B. Books
C. Pictures
D. Colors


","15) Painting

A. Canvas
B. Books
C. Pictures
D. Colors


",D,"Without colors, one cannot paint. Books and canvas may not be necessary for painting. Pictures can be taken with a camera.
",https://www.javatpoint.com/essential-part-3
0,"This type of reasoning question has an underlined word followed by four words. You have to select one word that is the necessary part of the underlined word.

16) Temple

A. Offerings 
B. God 
C. Priest
D. Flowers


","16) Temple

A. Offerings 
B. God 
C. Priest
D. Flowers


",B,"People come to a temple to worship God. A temple may exist without flowers, offerings, and priest.
",https://www.javatpoint.com/essential-part-4
1,"This type of reasoning question has an underlined word followed by four words. You have to select one word that is the necessary part of the underlined word.

17) Restaurant

A. Ambiance 
B. Air-conditioner
C. Rent
D. None of these


","17) Restaurant

A. Ambiance 
B. Air-conditioner
C. Rent
D. None of these


",D,"There can be a restaurant that doesn't need to pay rent and lacks good ambiance and the facility of an air-conditioner.
",https://www.javatpoint.com/essential-part-4
