Unnamed: 0,Question,Answer,Solution
0,"A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.

Odometer is to mileage as compass is to

A. speed
B. hiking
C. needle
D. direction
",D,"An odometer is an instrument used to measure mileage.  A compass is an instrument used to determine direction. Choices a, b, and  c are incorrect because none is an instrument."
1,"A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.

Marathon is to race as hibernation is to

A. winter
B. bear
C. dream
D. sleep
",D,"A marathon is a long race and hibernation is a lengthy period of sleep. The answer is not choice a or b because even though a bear and winter are related to hibernation, neither completes the analogy. (Choice c) is incorrect because sleep and dream are not synonymous."
2,"A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.

Window is to pane as book is to

A. novel
B. glass
C. cover
D. page
",D,"A window is made up of panes, and a book is made up of pages. The answer is not (choice a) because a novel is a type of book. The answer is not (choice b) because glass has no relationship to a book. (Choice c) is incorrect because a cover is only one part of a book; a book is not made up of  covers."
3,"A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.

Cup is to coffee as bowl is to

A. dish
B. soup
C. spoon
D. food
",B,Coffee goes into a cup and soup goes into a bowl.  Choices a and  c are incorrect because they are other utensils. The answer is not choice d because the word food is too general.
4,"A good way to figure out the relationship in a given question is to make up a sentence that describes the relationship between the first two words. Then, try to use the same sentence to find out which of the answer choices completes the same relationship with the third word.

Yard is to inch as quart is to

A. gallon
B. ounce
C. milk
D. liquid
",B,A yard is a larger measure than an inch (a yard contains 36 inches). A quart is a larger measure than an ounce (a quart contains 32 ounces). Gallon (choice a) is incorrect because it is larger than a  quart. Choices  c and d are incorrect because they are not units of measurement.
0,"Choose the pair that best represents a similar relationship to the one expressed in the original pair of words.

MONK : DEVOTION

A. maniac : pacifism
B. explorer : contentment
C. visionary : complacency
D. rover : wanderlust
E. philistine : culture
",D,Devotion is characteristic of a monk; wanderlust is characteristic of a rover.
1,"Choose the pair that best represents a similar relationship to the one expressed in the original pair of words.

SLAPSTICK : LAUGHTER

A. fallacy : dismay
B. genre : mystery
C. satire : anger
D. mimicry : tears
E. horror : fear
",E,Slapstick results in laughter; horror results in fear.
2,"Choose the pair that best represents a similar relationship to the one expressed in the original pair of words.

VERVE : ENTHUSIASM

A. loyalty : duplicity
B. devotion : reverence
C. intensity : color
D. eminence : anonymity
E. generosity : elation
",B,Verve and enthusiasm are synonyms; devotion and reverence are synonyms.
3,"Choose the pair that best represents a similar relationship to the one expressed in the original pair of words.

SPY : CLANDESTINE

A. accountant : meticulous
B. furrier : rambunctious
C. lawyer : ironic
D. shepherd : garrulous
E. astronaut : opulent
",A,A spy acts in a clandestine manner; an accountant  acts in a meticulous manner.
4,"Choose the pair that best represents a similar relationship to the one expressed in the original pair of words.

COBBLER : SHOE

A. jockey : horse
B. contractor : building
C. mason : stone
D. cowboy : boot
E. potter : paint
",B,A cobbler makes and repairs shoes; a contractor builds and repairs buildings.
0,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Pear
B. Apple
C. Litchi
D. Guava
E. Orange
",E,"Orange is the only citrus fruit in the group.
"
1,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Dagger
B. Hammer
C. Knife
D. Sword
E. Blade
",B,"All except Hammer are sharp-edged and have a cutting action.
"
2,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Kanpur
B. Allahabad
C. Varanasi
D. Mathura
",D,"All except Mathura are cities situated on the banks of Ganga river.
"
3,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Oyster
B. Clam
C. Scallop
D. Mussel
",C,"All except Scallop live in shells.
"
4,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Deck
B. Quay
C. Stern
D. Bow
E. Mast
",B,"All except Quay are parts Of a ship.
"
0,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Producer
B. Director
C. Investor
D. Financier
E. Entrepreneur
",B,"All except Director spend money.
"
1,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Tricycle
B. Trident
C. Trifle
D. Tricolour
E. Trilogy
",C,"In all except Trifle, 'tri' indicates 'three'.
"
2,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Chameleon
B. Crocodile
C. Alligator
D. Locust
E. Salamander
",D,"All except Locust are reptiles, while locust is an insect.
"
3,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Calendar
B. Year
C. Date
D. Month
E. Day
",A,"All others are parts of a calendar.
"
4,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Mumbai
B. Cochin
C. Kandla
D. Mysore
E. Vishakhapatnam
",D,"All except Mysore are harbours.
"
0,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Cumin
B. Groundnut
C. Cinnamon
D. Pepper
E. Clove
",B,"All except Groundnut are spices.
"
1,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Biscuits
B. Chocolate
C. Cake
D. Bread
E. Pastry
",B,"All except Chocolate are baked items.
"
2,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Sweep
B. Wipe
C. Scrub
D. Wash
E. Stain
",E,"All except Stain are terms related to cleaning.
"
3,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Coat
B. Shirt
C. Blouse
D. Trousers
E. Sweater
",D,"All except Trousers are garments which cover the upper part of the body.
"
4,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Asia
B. Argentina
C. Africa
D. Australia
E. Antarctica
",B,"All except Argentina are continents, while Argentina is a country.
"
0,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Japan
B. India
C. Sri Lanka
D. New Zealand
",B,"All except India are islands, while India is a peninsula.
"
1,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Spectacles
B. Goggles
C. Binoculars
D. Microphone
E. Telescope
",D,"All except Microphone are related to eyes.
"
2,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Shehnai
B. Bagpipe
C. Flute
D. Sitar
E. Harmonica
",D,"All except Sitar are wind instruments, while sitar is a string instrument.
"
3,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Cheetah
B. Lion
C. Bear
D. Tiger
E. Leopard
",C,"All except Bear belong to the cat family.
"
4,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Sheep
B. Gazelle
C. Ibex
D. Shrew
E. Tapir
",B,"All except Gazelle are animals found in the mountains.
"
0,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Pound
B. Yen
C. Ounce
D. Franc
E. Dollar
",C,"All except Ounce are names of currencies, while ounce is a unit of weight.
"
1,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Brick
B. Heart
C. Bridge
D. Spade
E. Club
",A,"All except Brick are suits of cards.
"
